restaurant_name,city,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,rating,tags
Nuoya Restaurant,Beijing,48.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Former Residence of Ji Xiaolan,4.2,Waiting area available; Birthday set meal service; Private rooms available; Online queueing; Must-Eat List Top 10
Jingshuju Restaurant,Beijing,65.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Longtan Zhonghu Park,4.5,Must-Eat List Top 10; Online queueing
Huanxi Curry Restaurant (Beichen Hui Branch),Beijing,79.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,22:00,China National Convention Center,4.3,Private rooms available; Must-Eat List Top 10
Xingfu Linli Restaurant,Beijing,28.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,20:30,teamLab Borderless,4.8,Must-Eat List Top 10; Private rooms available
Wufu Xiang Manlou,Beijing,66.0,Catering Services; Chinese Restaurant; Chinese Restaurant,16:30,22:00,Wendu Water City · Water Dream Wonderland,4.2,Must-Eat List Top 10; Online queueing; Birthday set meal service; Private rooms available; Waiting area available
Qin Renju Restaurant (Daxing Yinghai Branch),Beijing,57.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:30,22:30,Nanhaizi Park,4.5,Must-Eat List Top 10; Online queueing
Longhong Restaurant,Beijing,34.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Beihai Park,4.3,Must-Eat List Top 10; Waiting area available; Online queueing; Private rooms available
Chatang Li Jingwei Restaurant (Gulou Branch),Beijing,52.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,21:00,Nanluoguxiang,4.8,Private rooms available; Waiting area available; Birthday set meal service; Must-Eat List Top 10; Outdoor seating
Airport Restaurant (Terminal 1 Branch),Beijing,56.0,Catering Services; Chinese Restaurant; Chinese Restaurant,09:00,21:00,Shidu Juma Paradise,4.3,Birthday set meal service
Xinhe Xiaoguan · 20-Year Old Shop (Beixinqiao Branch),Beijing,37.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:30,22:00,Nanluoguxiang,4.6,Outdoor seating; Online queueing
Huiyuan Restaurant,Beijing,74.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:30,21:30,Beijing International Convention Center,4.2,Must-Eat List Top 10; Online queueing; Outdoor seating; Waiting area available; Private rooms available
Beijing Academy of Social Sciences Restaurant,Beijing,40.0,Catering Services; Chinese Restaurant; Chinese Restaurant,16:30,20:00,Museum of the Chinese People's Revolution,4.2,Private rooms available; Online queueing; Waiting area available; Birthday set meal service
Green Tea Restaurant (Beijing Longhu Xingyue Hui Branch),Beijing,70.0,Catering Services;Chinese Restaurant,11:00,22:00,Seventeen-Arch Bridge,4.5,Birthday set meal service;Private rooms available;Waiting area available;Must-Eat List Top 10;Online queueing;Outdoor seating
China Eastern Preferred Restaurant (China Eastern Crew Dormitory Branch),Beijing,32.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Beijing Wildlife Park,3.7,Must-Eat List Top 10; Birthday set meal service; Online queueing; Private rooms available; Outdoor seating
Gangyuan Restaurant (Baiguang Road No. 6 Courtyard Branch),Beijing,22.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,13:30,Beijing Grand View Garden,4.4,Waiting area available; Birthday set meal service; Must-Eat List Top 10
Shenzhen Airport Staff Restaurant,Beijing,25.0,Catering Services; Chinese Restaurant; Chinese Restaurant,16:00,19:00,Beijing Wildlife Park,3.8,Outdoor seating; Online queueing; Waiting area available
Bo'ai Hospital Nutrition Restaurant (Kangcan Fang),Beijing,22.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,19:00,World Flower Park,3.8,Waiting area available; Must-Eat List Top 10
Yuanhui Shifu (Haoheng Building Branch),Beijing,62.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,21:00,Leduogang Kale Planet,4.6,Outdoor seating; Private rooms available
Shatan Restaurant,Beijing,31.0,Catering Services; Chinese Restaurant; Chinese Restaurant,07:00,22:00,Jingshan Park,4.2,Online queueing; Outdoor seating; Must-Eat List Top 10; Waiting area available; Private rooms available; Birthday set meal service
Jingfu Restaurant (Dashilan West Street Commercial Branch),Beijing,55.0,Catering Services; Chinese Restaurant; Chinese Restaurant,06:30,22:30,Yangmeizhuxie Street,4.5,Outdoor seating; Private rooms available; Online queueing
Beijing Oriental Hotel · Weidao 1918 Restaurant,Beijing,75.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:30,21:30,Beijing Liyuan Theatre,4.5,Must-Eat List Top 10
Xiluoyuan Elderly Restaurant (Xiluoyuan Community 4 Branch),Beijing,30.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,22:00,Taoranting Park Ice Rink,4.4,Birthday set meal service; Online queueing; Outdoor seating; Private rooms available
Hutong Xiaochuan (Puhuangyu Branch),Beijing,79.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,01:00,Circular Mound Altar,4.7,Must-Eat List Top 10; Birthday set meal service
Pinwei Restaurant,Beijing,34.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Former Residence of Ji Xiaolan,4.0,Waiting area available; Birthday set meal service
Green Tea Restaurant (Beijing Intime IN88 Branch),Beijing,74.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:30,Old Beijing Style Street,4.6,Outdoor seating; Private rooms available; Waiting area available; Must-Eat List Top 10; Birthday set meal service; Online queueing
Ai Zhuanjiao Guochuang Restaurant (Guochuang Industrial Park Branch),Beijing,26.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,19:00,Wangjing SOHO,3.9,Birthday set meal service; Outdoor seating; Online queueing
Green Tea Restaurant (Xidan Galeries Lafayette Branch),Beijing,78.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,22:00,Xidan Commercial Street,4.7,Birthday set meal service; Online queueing
Jinliang Restaurant,Beijing,34.0,Catering Services; Chinese Restaurant; Chinese Restaurant,08:00,21:30,Beijing Wildlife Park,3.9,Waiting area available; Outdoor seating
Tsinghua University Heyuan Restaurant,Beijing,20.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,19:00,Tsinghua University,4.6,Outdoor seating; Private rooms available; Birthday set meal service; Online queueing
Jiefang Hotel Chinese Restaurant,Beijing,19.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,20:00,Shidu Juma Paradise,3.6,Must-Eat List Top 10; Online queueing
Yamei Restaurant (Zhenwumiao Sili Branch),Beijing,36.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Capital Museum,4.1,Birthday set meal service; Online queueing; Outdoor seating; Private rooms available
Shanglin Garden No. 89 Tea Restaurant,Beijing,733.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,23:00,HI-Fun Competitive Theme Park,4.5,Must-Eat List Top 10; Online Queue Number; Waiting Area Available; Birthday Set Meal Service; Private Rooms Available
Guofeng Family Restaurant (Bird's Nest View Branch),Beijing,556.0,Catering Services; Chinese Restaurant; Chinese Restaurant,16:30,22:00,Beiding Niangniang Temple,4.6,Private Rooms Available; Online Queue Number; Must-Eat List Top 10; Outdoor Seating; Birthday Set Meal Service
Wangxiangyan Courtyard Restaurant · 798 Living Room (Jiuxianqiao · Wangjing Branch),Beijing,99.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,21:00,798 Art District,4.7,Birthday Set Meal Service; Waiting Area Available; Must-Eat List Top 10; Outdoor Seating; Online Queue Number
Qishiwai Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Guyaju Scenic Area,3.9,Private Rooms Available; Waiting Area Available; Must-Eat List Top 10; Online Queue Number; Outdoor Seating; Birthday Set Meal Service
Backyard Restaurant (Lianhuachi Xili Branch),Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,22:00,Lianhuachi Park,4.6,Waiting Area Available
Tangchu (Wudaoying Branch),Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:30,21:30,Wudaoying Hutong,4.2,Waiting Area Available; Online Queue Number; Must-Eat List Top 10; Outdoor Seating
Juqi (Qianmen Branch),Beijing,84.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Monument to the People's Heroes,4.6,Outdoor Seating; Online Queue Number; Waiting Area Available; Birthday Set Meal Service
Jingcheng Xiaoyuan Hutong Cuisine Terrace Bistro,Beijing,82.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,22:00,Shichahai,4.6,Private Rooms Available; Waiting Area Available; Outdoor Seating; Online Queue Number; Must-Eat List Top 10; Birthday Set Meal Service
Sheng Yongxing Roast Duck Restaurant (Wanhe Building Branch),Beijing,198.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Beiding Niangniang Temple,4.5,Private Rooms Available; Online Queue Number; Birthday Set Meal Service
Personnel Department Career Building Office Area Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Yuan Dynasty Capital City Wall Ruins Park,2.4,Outdoor seating; Birthday set meal service
Luo Xiaochu Restaurant (Yiling Building Branch),Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Deyun Society Theater,4.0,Must-Eat List Top 10; Online queueing
Ganxiang Courtyard Bamboo Forest Courtyard Restaurant (Guomao Dawanglu Branch),Beijing,121.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,22:30,Today Art Museum,4.4,Private rooms available; Must-Eat List Top 10
Yunwei Art Restaurant,Beijing,98.0,Catering Services; Chinese Restaurant; Chinese Restaurant,04:30,21:30,Tongzhou Canal Cruise,4.0,Outdoor Seating; Birthday Set Meal Service; Must-Eat List Top 10; Private Rooms Available; Waiting Area Available
Lanxiangjing Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Xiangshan Park,3.9,Outdoor seating
Ganyuan Jiangxi Courtyard Restaurant,Beijing,114.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,22:30,Today Art Museum,4.7,Must-Eat List Top 10; Private Rooms Available; Outdoor Seating
Quanshuiyan Restaurant,Beijing,85.0,Catering Services; Chinese Restaurant; Chinese Restaurant,16:00,20:00,Yaji Mountain,4.3,Online queueing
Beilun Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,National Botanical Garden (Former Beijing Botanical Garden),3.9,Online Queue Number; Outdoor Seating; Birthday Set Meal Service; Waiting Area Available; Must-Eat List Top 10
Kandan Hong Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,21:00,Beijing Auto Museum,4.4,Birthday Set Meal Service; Private Rooms Available; Online Queue Number; Outdoor Seating
Baifulou Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,22:00,Leduogang Kale Planet,3.5,Waiting Area Available; Private Rooms Available; Online Queue Number; Birthday Set Meal Service
China Meteorological Administration Community South District Staff Restaurant (Meteorological Bureau Community South District Branch),Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Beijing Zoo,4.3,Waiting Area Available; Birthday Set Meal Service; Outdoor Seating; Private Rooms Available
Youanmen Subdistrict Dongzhuang Community Elderly Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Taoranting Park,3.9,Outdoor seating; Birthday set meal service
Linjia Inn - Riverside Restaurant,Beijing,81.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,21:00,Gubei Water Town,4.5,Must-Eat List Top 10; Private Rooms Available; Outdoor Seating
Pinge Restaurant · Cantonese Cuisine · Jiangxi Cuisine · Hunan Cuisine (Zhongguo Xi Branch),Beijing,134.0,Catering Services; Chinese Restaurant; Chinese Restaurant,16:30,21:30,World Flower Park,4.3,Must-Eat List Top 10
Xiangjiu Roasted Goose Head (Tuqiao Branch),Beijing,134.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,24:00,Future Water World,4.3,Must-Eat List Top 10; Private rooms available
Shuangliu Mama Rabbit Head (Shuangjing Branch),Beijing,102.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,22:30,Panjiayuan Antique Market,4.5,Waiting Area Available; Birthday Set Meal Service; Online Queue Number; Must-Eat List Top 10; Outdoor Seating
Suzhou Marriott Executive Apartments - Zitan Xuan Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,China Rosewood Museum,4.1,Must-Eat List Top 10; Online Queue Number; Private Rooms Available; Birthday Set Meal Service; Waiting Area Available
Chanzui Mao Skewer Bar · BBQ Bistro (Daxing Airport Branch),Beijing,90.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Beijing Wildlife Park,4.3,Outdoor Seating; Online Queue Number; Birthday Set Meal Service; Private Rooms Available; Must-Eat List Top 10
Post Station Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Huaxi Live · Wukesong,2.3,Online Queue Number; Outdoor Seating; Birthday Set Meal Service; Waiting Area Available
Jing · Restaurant PEKING LIANG (Qianmen Branch),Beijing,102.0,Catering Services;Chinese Restaurant,11:00,22:00,Eight Great Hutongs,4.7,Private Rooms Available;Waiting Area Available;Must-Eat List Top 10;Online Queue Number;Outdoor Seating
Yuxiangyuan Restaurant (Beiyu Building Branch),Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Longtan Zhonghu Park,4.1,Birthday Set Meal Service; Must-Eat List Top 10; Online Queue Number; Outdoor Seating; Private Rooms Available
Saizeriya Italian Restaurant (Beitou Xinao Shopping Center Branch),Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,22:00,Water Cube (National Aquatics Center),4.6,Must-Eat List Top 10
Penglai Pavilion Chinese Restaurant,Beijing,119.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:30,21:30,Mirage Space Super Metaverse (Beijing Store),4.4,Private Rooms Available; Birthday Set Meal Service
106 Restaurant (Beijing Pan-Asia International Commercial Street Branch),Beijing,117.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,22:00,Junwang Mansion,4.3,Outdoor Seating; Waiting Area Available; Online Queue Number; Must-Eat List Top 10
Jurassic Museum Restaurant,Beijing,99.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:30,01:00,Beijing Happy Valley,4.4,Private Rooms Available
Beijing Daxing District Integrated Traditional Chinese and Western Medicine Hospital Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Nanhaizi Park,2.5,Must-Eat List Top 10
Pinghe Restaurant Home-style Cooking,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Mirage Space Super Metaverse (Beijing Store),4.5,Must-Eat List Top 10; Waiting Area Available; Outdoor Seating; Online Queue Number; Private Rooms Available
Junle Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Tank Museum,2.3,Online Queue Number; Private Rooms Available; Waiting Area Available
Jianhua Gourmet Restaurant (Fengyi Business Building Branch),Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,08:00,23:00,Beijing Auto Museum,3.7,Waiting Area Available; Online Queue Number; Private Rooms Available
Yuehu Restaurant,Beijing,116.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,20:30,Lianhuachi Park,4.1,Private Rooms Available; Outdoor Seating; Birthday Set Meal Service; Online Queue Number
Yuanyuan (Di'anmen Branch),Beijing,97.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Beihai Park,4.4,Private Rooms Available; Online Queue Number; Waiting Area Available; Outdoor Seating
Xin Zha Shixiong · New Style Cantonese Cuisine (Chaoyang Joy City Branch),Beijing,95.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:30,teamLab Borderless,4.5,Must-Eat List Top 10; Birthday Set Meal Service; Waiting Area Available; Online Queue Number
Xiao Yunnan Restaurant (Nanluoguxiang Branch),Beijing,117.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,22:00,Nanluoguxiang,4.6,Online Queue Number; Birthday Set Meal Service; Private Rooms Available; Waiting Area Available
Huishang Xingchen · Restaurant (Haidong No. 1 Residential Community Branch),Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Longmenjian Scenic Area,3.9,Outdoor seating
Hudemon Style Restaurant (Chezhan West Street West Road Branch),Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Longmenjian Scenic Area,3.7,Must-Eat List Top 10
Shanhetun Iron Pot Stew (Jianguomen Branch),Beijing,89.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:30,22:30,Ming City Wall Ruins Park,4.7,Outdoor seating
Xi'an Xianyang International Airport Terminal 2 Airport Staff Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,21:00,Shidu Juma Paradise,3.8,Must-Eat List Top 10; Waiting Area Available
Haxi Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Simatai Great Wall,3.6,Outdoor Seating; Must-Eat List Top 10; Private Rooms Available; Birthday Set Meal Service
Kuaijiemei Chinese Gourmet Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,09:00,21:00,Ruien Town,4.1,Birthday set meal service; Private rooms available
Qixun Bazhao Hutong Cuisine (Yonghe Temple Branch),Beijing,92.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Beijing Confucius Temple,4.5,Must-Eat List Top 10; Private rooms available
VIP Building Rongshuyuan Restaurant,Beijing,113.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:30,21:30,Beijing International Convention Center,4.6,Must-Eat List Top 10; Waiting Area Available; Private Rooms Available; Online Queue Number; Outdoor Seating
Zhonghong Shengyan · Bird's Nest Restaurant (Yayuncun Branch),Beijing,171.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,21:00,Museum of the Chinese People's Revolution,4.5,Online Queue Number; Must-Eat List Top 10; Outdoor Seating; Birthday Set Meal Service
Peking University Changchunyuan Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,09:00,21:00,Suzhou Street,4.6,Outdoor Seating; Online Queue Number; Birthday Set Meal Service; Must-Eat List Top 10
Hanglv Home Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,08:00,20:30,Simatai Great Wall,4.0,Must-Eat List Top 10; Outdoor Seating; Private Rooms Available; Birthday Set Meal Service
Fumanyuan (Xinyuan South Road Branch),Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,22:00,Aojia Art Museum,4.5,Must-Eat List Top 10
Jinyiyuan Music Dining Bar,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,World Flower Park,3.6,Private Rooms Available; Outdoor Seating; Birthday Set Meal Service
Yuxiang Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,09:00,23:00,Shenlu Scenic Area,3.7,Online queueing
Longxianfu Specialty Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Dingling Tomb,3.6,Must-Eat List Top 10; Outdoor seating; Online queueing; Waiting area available; Birthday set meal service; Private rooms available
Kunning Palace East Courtyard Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,08:00,16:30,Jingshan Park,4.4,Must-Eat List Top 10; Birthday set meal service; Outdoor seating; Online queueing; Private rooms available
ZENG Restaurant Theater Branch (Qianmen Branch),Beijing,88.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:30,21:00,Yangmeizhuxie Street,4.7,Birthday set meal service; Online queueing; Private rooms available; Outdoor seating
Nanfeng Rui's Restaurant (Yangqiao Xili Community Branch),Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,07:00,22:00,Beijing Grand View Garden,4.4,Waiting area available; Must-Eat List Top 10; Online queueing
Taiyanggong Fuzhong Chinese Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,16:30,21:00,Deyun Society Theater,4.1,Birthday set meal service
Xueju Skiing Theme Restaurant (Yixiang Branch),Beijing,92.0,Catering Services; Chinese Restaurant; Chinese Restaurant,16:00,01:30,Circular Mound Altar,3.9,Must-Eat List Top 10
Jing B · Dongli Craft Beer Music Restaurant,Beijing,85.0,Catering Services; Chinese Restaurant; Chinese Restaurant,16:30,03:00,Former Residence of Ji Xiaolan,4.5,Outdoor seating; Online queueing; Private rooms available
Tianlun Songhe Grand Hotel - Buffet Restaurant,Beijing,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,22:00,Old Beijing Style Street,4.0,Online queueing; Must-Eat List Top 10; Private rooms available; Outdoor seating; Waiting area available
